Tempo PWM Esq Dir
3008 -100 0 0
3030 -100 -4 -5
3051 -100 -12 -13
3072 -100 -21 -22
3093 -100 -33 -34
3115 -100 -45 -46
3136 -100 -58 -59
3158 -100 -71 -73
3179 -100 -85 -87
3200 -100 -99 -100
3221 -100 -113 -114
3243 -100 -127 -129
3264 -100 -142 -143
3286 -100 -157 -157
3307 -100 -171 -172
3328 -100 -185 -186
3349 -100 -200 -200
3371 -100 -215 -215
3392 -100 -229 -229
3414 -100 -244 -243
3435 -100 -259 -258
3456 -100 -273 -272
3477 -100 -288 -287
3499 -100 -303 -301
3520 -100 -317 -316
3542 -100 -332 -331
3563 -100 -347 -345
3584 -100 -361 -359
3605 -100 -376 -374
3627 -100 -391 -389
3648 -100 -406 -404
3670 -100 -420 -418
3691 -100 -435 -433
3712 -100 -449 -447
3733 -100 -464 -462
3755 -100 -479 -477
3776 -100 -494 -492
3798 -100 -509 -506
3819 -100 -524 -521
3840 -100 -538 -535
3861 -100 -553 -550
3883 -100 -568 -565
3904 -100 -583 -580
3926 -100 -597 -595
3947 -100 -612 -610
3968 -100 -627 -624
3989 -100 -641 -638
4011 -100 -656 -653
4032 -100 -671 -668
4054 -100 -686 -683
4075 -100 -701 -698
4096 -100 -715 -712
4117 -100 -730 -726
4139 -100 -745 -741
4160 -100 -760 -756
4182 -100 -775 -770
4203 -100 -790 -785
4224 -100 -804 -799
4245 -100 -819 -813
4267 -100 -834 -828
4288 -100 -849 -843
4310 -100 -864 -857
4331 -100 -878 -872
4352 -100 -893 -886
4373 -100 -908 -901
4395 -100 -922 -916
4416 -100 -937 -930
4438 -100 -952 -945
4459 -100 -967 -960
4480 -100 -981 -974
4501 -100 -996 -989
4523 -100 -1011 -1004
4544 -100 -1026 -1019
4566 -100 -1041 -1033
4587 -100 -1056 -1048
4608 -100 -1070 -1062
4629 -100 -1085 -1077
4651 -100 -1100 -1092
4672 -100 -1115 -1107
4694 -100 -1130 -1122
4715 -100 -1145 -1137
4736 -100 -1159 -1151
4757 -100 -1174 -1166
4779 -100 -1189 -1181
4800 -100 -1204 -1196
4822 -100 -1219 -1210
4843 -100 -1234 -1225
4864 -100 -1248 -1239
4885 -100 -1263 -1254
4907 -100 -1278 -1269
4928 -100 -1293 -1284
4950 -100 -1308 -1298
4971 -100 -1323 -1313
4992 -100 -1337 -1327
5013 -100 -1352 -1342
5035 -100 -1367 -1356
5056 -100 -1382 -1371
5078 -100 -1397 -1385
5099 -100 -1412 -1400
5120 -100 -1426 -1414
5141 -100 -1441 -1429
5163 -100 -1456 -1444
5184 -100 -1471 -1459
5206 -100 -1486 -1473
5227 -100 -1501 -1488
5248 -100 -1515 -1503
5269 -100 -1530 -1519
5291 -100 -1545 -1535
5312 -100 -1560 -1551
5334 -100 -1576 -1567
5355 -100 -1592 -1582
5376 -100 -1607 -1598
5397 -100 -1623 -1614
5419 -100 -1639 -1630
5440 -100 -1655 -1646
5462 -100 -1671 -1662
5484 -100 -1687 -1677
