Tempo PWM Esq Dir
21 -8 0 0

52 -10 0 0

73 -11 0 0

96 -12 0 0

117 -13 0 0

140 -14 0 0

163 -15 0 0

186 -16 0 0

208 -17 0 0

232 -18 0 0

254 -19 0 0

278 -20 0 0

301 -21 0 0

323 -22 0 0

347 -23 0 -1

370 -24 0 -2

394 -25 0 -5

418 -26 -2 -7

443 -27 -4 -11

468 -28 -7 -15

495 -29 -11 -20

522 -30 -15 -25

549 -31 -20 -31

576 -32 -26 -37

603 -33 -32 -43

630 -34 -38 -50

657 -35 -45 -57

685 -36 -52 -65

711 -37 -59 -72

738 -38 -67 -80

765 -39 -75 -89

792 -40 -84 -98

820 -41 -93 -107

847 -42 -103 -117

877 -43 -113 -127

906 -44 -124 -138

934 -45 -135 -149

964 -46 -146 -160

993 -47 -158 -172

1022 -48 -170 -185

1052 -49 -183 -197

1083 -50 -196 -210

1113 -51 -209 -224

1143 -52 -222 -237

1173 -53 -236 -251

1203 -54 -250 -265

1233 -55 -264 -279

1263 -56 -279 -294

1294 -57 -294 -308

1324 -58 -309 -323

1354 -59 -324 -339

1384 -60 -339 -354

1415 -61 -355 -369

1444 -62 -370 -385

1474 -63 -386 -401

1505 -64 -403 -417

1534 -65 -419 -434

1565 -66 -436 -450

1595 -67 -452 -467

1626 -68 -469 -484

1655 -69 -487 -501

1686 -70 -504 -518

1716 -71 -521 -535

1746 -72 -539 -552

1776 -73 -556 -569

1806 -74 -574 -587

1837 -75 -592 -604

1866 -76 -610 -622

1897 -77 -629 -640

1927 -78 -647 -658

1957 -79 -665 -676

1987 -80 -684 -694

2018 -81 -703 -713

2048 -82 -722 -731

2078 -83 -741 -750

2108 -84 -760 -769

2138 -85 -779 -788

2168 -86 -799 -808

2198 -87 -818 -827

2229 -88 -838 -846

2258 -89 -858 -866

2289 -90 -878 -886

2319 -91 -898 -905

2350 -92 -918 -925

2379 -93 -938 -945

2410 -94 -958 -965

2440 -95 -978 -985

2469 -96 -999 -1006

2501 -97 -1020 -1027

2533 -98 -1042 -1049

2566 -99 -1064 -1071

2597 -100 -1087 -1093

2631 -99 -1109 -1115

2663 -98 -1131 -1137

2696 -97 -1153 -1159

2727 -96 -1175 -1180

2760 -95 -1197 -1202

2792 -94 -1219 -1224

2825 -93 -1241 -1245

2856 -92 -1263 -1267

2889 -91 -1284 -1289

2921 -90 -1306 -1310

2954 -89 -1328 -1332

2985 -88 -1350 -1353

3018 -87 -1371 -1374

3050 -86 -1393 -1396

3083 -85 -1414 -1417

3115 -84 -1435 -1438

3147 -83 -1457 -1459

3179 -82 -1478 -1480

3212 -81 -1499 -1500

3244 -80 -1520 -1521

3276 -79 -1541 -1542

3308 -78 -1561 -1562

3341 -77 -1582 -1583

3373 -76 -1603 -1603

3404 -75 -1623 -1623

3437 -74 -1643 -1643

3469 -73 -1664 -1662

3502 -72 -1684 -1682

3533 -71 -1704 -1701

3566 -70 -1723 -1720

3598 -69 -1743 -1739

3631 -68 -1762 -1758

3662 -67 -1782 -1777

3695 -66 -1801 -1796

3727 -65 -1820 -1814

3760 -64 -1839 -1833

3791 -63 -1858 -1851

3824 -62 -1876 -1869

3856 -61 -1895 -1888

3889 -60 -1913 -1905

3920 -59 -1931 -1923

3953 -58 -1949 -1941

3985 -57 -1967 -1958

4018 -56 -1984 -1976

4049 -55 -2002 -1993

4082 -54 -2019 -2010

4114 -53 -2036 -2027

4147 -52 -2053 -2043

4178 -51 -2070 -2060

4211 -50 -2086 -2076

4243 -49 -2102 -2092

4276 -48 -2118 -2108

4307 -47 -2134 -2124

4340 -46 -2150 -2139

4372 -45 -2165 -2154

4405 -44 -2180 -2169

4436 -43 -2195 -2183

4468 -42 -2210 -2197

4501 -41 -2224 -2211

4533 -40 -2239 -2225

4566 -39 -2252 -2238

4597 -38 -2266 -2250

4630 -37 -2279 -2263

4662 -36 -2292 -2276

4695 -35 -2305 -2288

4726 -34 -2317 -2299

4759 -33 -2329 -2311

4791 -32 -2340 -2322

4824 -31 -2352 -2333

4855 -30 -2363 -2343

4888 -29 -2373 -2354

4920 -28 -2383 -2364

4953 -27 -2393 -2373

4984 -26 -2403 -2383

5017 -25 -2412 -2392

5049 -24 -2420 -2400

5082 -23 -2428 -2408

5113 -22 -2436 -2416

5146 -21 -2443 -2423

5178 -20 -2450 -2430

5211 -19 -2456 -2437

5242 -18 -2462 -2443

5275 -17 -2468 -2449

5307 -16 -2473 -2454

5340 -15 -2478 -2459

5371 -14 -2482 -2464

5404 -13 -2485 -2468

5436 -12 -2489 -2471

5468 -11 -2491 -2474

5500 -10 -2494 -2477

5532 -9 -2495 -2479

5564 -8 -2497 -2481

5595 -7 -2497 -2482

5626 -6 -2498 -2483

5657 -5 -2498 -2483

5689 -4 -2498 -2483

5720 -3 -2498 -2483

5751 -2 -2498 -2483

5782 -1 -2498 -2483

5814 0 -2498 -2483

5843 1 -2498 -2483

5874 2 -2498 -2483

5904 3 -2498 -2483

5934 4 -2498 -2483

5964 5 -2498 -2483

5994 6 -2498 -2483

6025 7 -2498 -2483

6054 8 -2498 -2483

6085 9 -2498 -2483

6115 10 -2498 -2483

6147 11 -2498 -2483

6177 12 -2498 -2483

6209 13 -2498 -2483

6240 14 -2498 -2483

6272 15 -2498 -2483

6302 16 -2498 -2483

6333 17 -2498 -2483

6365 18 -2498 -2483

6395 19 -2498 -2483

6427 20 -2498 -2483

6458 21 -2498 -2483

6490 22 -2498 -2483

6520 23 -2498 -2481

6552 24 -2498 -2478

6583 25 -2498 -2474

6615 26 -2497 -2469

6645 27 -2497 -2463

6677 28 -2497 -2458

6708 29 -2497 -2451

6739 30 -2495 -2445

6770 31 -2491 -2437

6802 32 -2486 -2430

6833 33 -2480 -2422

6863 34 -2474 -2414

6895 35 -2467 -2405

6926 36 -2459 -2396

6958 37 -2451 -2387

6988 38 -2442 -2377

7020 39 -2433 -2368

7051 40 -2424 -2357

7083 41 -2414 -2347

7113 42 -2404 -2336

7145 43 -2393 -2325

7176 44 -2382 -2313

7207 45 -2371 -2302

7238 46 -2359 -2290

7270 47 -2347 -2278

7301 48 -2335 -2265

7331 49 -2322 -2253

7363 50 -2309 -2240

7394 51 -2296 -2227

7426 52 -2283 -2214

7456 53 -2269 -2201

7488 54 -2255 -2188

7519 55 -2240 -2174

7550 56 -2226 -2160

7581 57 -2211 -2145

7613 58 -2196 -2131

7644 59 -2181 -2116

7675 60 -2165 -2101

7706 61 -2149 -2085

7738 62 -2133 -2069

7769 63 -2117 -2053

7800 64 -2101 -2037

7831 65 -2084 -2020

7862 66 -2067 -2004

7894 67 -2050 -1987

7924 68 -2033 -1969

7956 69 -2015 -1952

7987 70 -1998 -1935

8018 71 -1980 -1917

8049 72 -1962 -1899

8081 73 -1944 -1881

8112 74 -1925 -1863

8143 75 -1907 -1845

8174 76 -1888 -1826

8206 77 -1869 -1808

8237 78 -1850 -1789

8268 79 -1831 -1770

8299 80 -1812 -1752

8330 81 -1793 -1733

8361 82 -1773 -1714

8392 83 -1754 -1695

8424 84 -1734 -1675

8455 85 -1714 -1656

8486 86 -1694 -1637

8517 87 -1674 -1618

8549 88 -1654 -1598

8580 89 -1634 -1579

8611 90 -1613 -1559

8642 91 -1593 -1539

8674 92 -1572 -1519

8705 93 -1551 -1498

8736 94 -1531 -1478

8767 95 -1510 -1457

8799 96 -1489 -1436

8829 97 -1467 -1416

8860 98 -1446 -1394

8892 99 -1425 -1373

8923 100 -1403 -1352

8955 99 -1381 -1330

8986 98 -1359 -1309

9018 97 -1338 -1288

9049 96 -1316 -1267

9080 95 -1295 -1245

9111 94 -1273 -1224

9143 93 -1252 -1204

9174 92 -1231 -1183

9205 91 -1209 -1162

9236 90 -1188 -1141

9268 89 -1167 -1121

9298 88 -1146 -1101

9330 87 -1126 -1081

9361 86 -1105 -1061

9392 85 -1084 -1041

9423 84 -1063 -1021

9454 83 -1043 -1002

9486 82 -1023 -982

9516 81 -1003 -963

9546 80 -984 -944

9575 79 -965 -926

9605 78 -947 -908

9633 77 -928 -890

9663 76 -910 -872

9692 75 -892 -853

9720 74 -874 -836

9750 73 -856 -818

9779 72 -838 -800

9808 71 -820 -782

9837 70 -802 -765

9867 69 -785 -747

9895 68 -768 -730

9924 67 -750 -713

9954 66 -733 -696

9982 65 -716 -680

10012 64 -699 -663

10042 63 -682 -646

10073 62 -665 -629

10102 61 -648 -612

10133 60 -631 -596

10163 59 -614 -580

10192 58 -598 -564

10223 57 -582 -548

10253 56 -565 -533

10284 55 -550 -518

