Time PWM Left Right
21 100 0 0
43 100 0 0
64 100 0 0
86 100 0 0
107 100 0 0
128 100 0 0
149 100 0 0
171 100 0 0
192 100 0 0
214 100 0 0
235 100 0 0
256 100 0 0
277 100 0 0
299 100 0 0
320 100 0 0
342 100 0 0
363 100 0 0
384 100 0 0
405 100 0 0
427 100 0 0
448 100 0 0
470 100 0 0
491 100 0 0
512 100 0 0
533 100 0 0
555 100 0 0
576 100 0 0
598 100 0 0
619 100 0 0
640 100 0 0
661 100 0 0
683 100 0 0
704 100 0 0
726 100 0 0
747 100 0 0
768 100 0 0
789 100 0 0
811 100 0 0
832 100 0 0
854 100 0 0
875 100 0 0
896 100 0 0
917 100 0 0
939 100 0 0
960 100 0 0
982 100 0 0
1003 100 0 0
1024 100 0 0
1045 100 0 0
1067 100 0 0
1088 100 0 0
1110 100 0 0
1131 100 0 0
1152 100 0 0
1173 100 0 0
1195 100 0 0
1216 100 0 0
1238 100 0 0
1259 100 0 0
1280 100 0 0
1301 100 0 0
1323 100 0 0
1344 100 0 0
1366 100 0 0
1387 100 0 0
1408 100 0 0
1429 100 0 0
1451 100 0 0
1472 100 0 0
1494 100 0 0
1515 100 0 0
1536 100 0 0
1557 100 0 0
1579 100 0 0
1600 100 0 0
1622 100 0 0
1643 100 0 0
1664 100 0 0
1685 100 0 0
1707 100 0 0
1728 100 0 0
1750 100 0 0
1771 100 0 0
1792 100 0 0
1813 100 0 0
1835 100 0 0
1856 100 0 0
1878 100 0 0
1899 100 0 0
1920 100 0 0
1941 100 0 0
1963 100 0 0
1984 100 0 0
2006 100 0 0
2027 100 0 0
2048 100 0 0
2069 100 0 0
2091 100 0 0
2112 100 0 0
2134 100 0 0
2155 100 0 0
2176 100 0 0
2197 100 0 0
2219 100 0 0
2240 100 0 0
2262 100 0 0
2283 100 0 0
2304 100 0 0
2325 100 0 0
2347 100 0 0
2368 100 0 0
2390 100 0 0
2411 100 0 0
2432 100 0 0
2453 100 0 0
2475 100 0 0
2496 100 0 0
2518 100 0 0
2539 100 0 0
2560 100 0 0
2581 100 0 0
2603 100 0 0
2624 100 0 0
2646 100 0 0
2667 100 0 0
2688 100 0 0
2709 100 0 0
2731 100 0 0
2752 100 0 0
2774 100 0 0
2795 100 0 0
2816 100 0 0
2837 100 0 0
2859 100 0 0
2880 100 0 0
2902 100 0 0
2923 100 0 0
2944 100 0 0
2965 100 0 0
2987 100 0 0
3008 -100 0 -1
3030 -100 -4 -5
3051 -100 -12 -13
3072 -100 -21 -22
3093 -100 -32 -33
3115 -100 -44 -45
3136 -100 -57 -58
3158 -100 -71 -71
3179 -100 -84 -84
3200 -100 -98 -97
3221 -100 -112 -111
3243 -100 -126 -125
3264 -100 -141 -139
3286 -100 -155 -153
3307 -100 -170 -168
3328 -100 -184 -181
3349 -100 -198 -196
3371 -100 -213 -210
3392 -100 -228 -224
3414 -100 -243 -239
3435 -100 -257 -253
3456 -100 -271 -267
3477 -100 -286 -282
3499 -100 -301 -296
3520 -100 -316 -311
3542 -100 -330 -325
3563 -100 -345 -340
3584 -100 -359 -354
3605 -100 -374 -368
3627 -100 -389 -383
3648 -100 -404 -398
3670 -100 -418 -412
3691 -100 -433 -427
3712 -100 -447 -441
3733 -100 -462 -456
3755 -100 -477 -470
3776 -100 -491 -485
3798 -100 -506 -500
3819 -100 -521 -514
3840 -100 -535 -528
3861 -100 -550 -543
3883 -100 -565 -557
3904 -100 -580 -572
3926 -100 -594 -586
3947 -100 -609 -601
3968 -100 -623 -615
3989 -100 -638 -629
4011 -100 -653 -644
4032 -100 -668 -658
4054 -100 -682 -672
4075 -100 -697 -687
4096 -100 -711 -701
4117 -100 -726 -715
4139 -100 -741 -730
4160 -100 -756 -744
4182 -100 -771 -759
4203 -100 -786 -773
4224 -100 -800 -787
4245 -100 -814 -802
4267 -100 -829 -817
4288 -100 -844 -831
4310 -100 -859 -846
4331 -100 -874 -860
4352 -100 -888 -874
4373 -100 -903 -889
4395 -100 -918 -904
4416 -100 -932 -918
4438 -100 -947 -933
4459 -100 -962 -948
4480 -100 -976 -962
4501 -100 -991 -976
4523 -100 -1006 -991
4544 -100 -1021 -1006
4566 -100 -1036 -1020
4587 -100 -1050 -1035
4608 -100 -1065 -1049
4629 -100 -1080 -1064
4651 -100 -1094 -1078
4672 -100 -1109 -1093
4694 -100 -1124 -1108
4715 -100 -1139 -1122
4736 -100 -1153 -1136
4757 -100 -1168 -1151
4779 -100 -1183 -1165
4800 -100 -1197 -1180
4822 -100 -1212 -1194
4843 -100 -1227 -1209
4864 -100 -1241 -1222
4885 -100 -1256 -1237
4907 -100 -1271 -1251
4928 -100 -1286 -1266
4950 -100 -1300 -1280
4971 -100 -1315 -1295
4992 -100 -1329 -1309
5013 -100 -1344 -1323
5035 -100 -1359 -1338
5056 -100 -1374 -1353
5078 -100 -1389 -1367
5099 -100 -1404 -1382
5120 -100 -1418 -1396
5141 -100 -1433 -1410
5163 -100 -1448 -1425
5184 -100 -1462 -1440
5206 -100 -1477 -1454
5227 -100 -1492 -1469
5248 -100 -1506 -1483
5269 -100 -1521 -1499
5291 -100 -1536 -1515
5312 -100 -1551 -1530
5334 -100 -1566 -1546
5355 -100 -1582 -1562
5376 -100 -1597 -1577
5397 -100 -1613 -1593
5419 -100 -1629 -1609
5440 -100 -1645 -1624
5462 -100 -1661 -1640
5483 -100 -1676 -1655
5506 -100 -1692 -1671
5529 -100 -1708 -1687
5552 -100 -1724 -1702
5575 -100 -1740 -1717
5598 -100 -1755 -1733
5620 -100 -1771 -1748
5644 -100 -1787 -1764
5666 -100 -1803 -1779
5689 -100 -1819 -1794
5712 -100 -1834 -1810
