Time PWM Left Right
22 -23 0 0
 
 
 
43 -26 0 -1
 
 
 
65 -29 -1 -3
 
 
 
88 -32 -4 -6
 
 
 
110 -35 -7 -10
 
 
133 -37 -11 -14
 
 
155 -39 -15 -19
 
 
178 -41 -21 -25
 
 
201 -43 -26 -32
 
 
224 -45 -33 -38
 
 
246 -47 -40 -46
 
267 -48 -46 -53
 
 
289 -50 -54 -61
 
 
312 -52 -63 -69
 
 
335 -54 -72 -78
 
 
358 -56 -81 -88
 
 
380 -58 -90 -97
 
401 -59 -99 -106
 
 
424 -61 -110 -117
 
446 -62 -120 -127
 
468 -63 -130 -137
 
490 -64 -141 -148
 
512 -65 -152 -158
 
534 -66 -163 -169
 
556 -67 -175 -181
 
577 -68 -186 -192
 
600 -69 -198 -203
 
621 -70 -210 -215
 
643 -71 -222 -227
 
665 -72 -234 -239
 
687 -73 -246 -251
 
708 -74 -258 -264
 
731 -75 -271 -276
 
752 -76 -283 -289
 
774 -77 -296 -301
 
796 -78 -309 -314
 
818 -79 -322 -327
 
839 -80 -335 -340
 
862 -81 -348 -353
 
883 -82 -361 -367
 
905 -83 -375 -380
 
927 -84 -388 -394
 
949 -85 -401 -407
 
970 -86 -415 -421
 
993 -87 -429 -434
 
1014 -88 -443 -449
 
1037 -89 -457 -463
 
1060 -90 -472 -478
 
1083 -91 -486 -493
 
1105 -92 -501 -508
 
1129 -93 -516 -523
 
1152 -94 -531 -538
 
1174 -95 -546 -553
 
1198 -96 -561 -568
 
1220 -97 -576 -583
 
1243 -98 -591 -598
 
1266 -99 -606 -613
 
1289 -100 -622 -629
 
1312 -99 -638 -645
 
1336 -98 -653 -660
 
1358 -97 -668 -675
 
1381 -96 -684 -690
 
1404 -95 -699 -706
 
1427 -94 -715 -721
 
1449 -93 -730 -736
 
1473 -92 -745 -751
 
1496 -91 -761 -766
 
1518 -90 -776 -781
 
1542 -89 -791 -796
 
1564 -88 -806 -811
 
1587 -87 -821 -826
 
1610 -86 -836 -841
 
1633 -85 -851 -855
 
1656 -84 -866 -870
 
1679 -83 -881 -885
 
1701 -82 -895 -900
 
1725 -81 -910 -914
 
1747 -80 -925 -929
 
1770 -79 -939 -943
 
1794 -78 -953 -957
 
1816 -77 -968 -972
 
1839 -76 -982 -986
 
1862 -75 -996 -1000
 
1886 -74 -1011 -1015
 
1910 -73 -1026 -1030
 
1936 -72 -1042 -1046
 
1960 -71 -1057 -1061
 
1985 -70 -1072 -1076
 
2011 -69 -1087 -1090
 
2035 -68 -1101 -1105
 
2061 -67 -1116 -1120
 
2085 -66 -1131 -1134
 
2110 -65 -1145 -1149
 
2136 -64 -1160 -1163
 
2160 -63 -1174 -1177
 
2185 -62 -1188 -1191
 
2210 -61 -1202 -1205
 
2235 -60 -1216 -1218
 
2260 -59 -1230 -1232
 
2285 -58 -1244 -1245
 
2310 -57 -1258 -1258
 
2335 -56 -1271 -1271
 
2360 -55 -1284 -1283
 
2384 -54 -1298 -1296
 
2410 -53 -1311 -1308
 
2435 -52 -1324 -1321
 
2460 -51 -1336 -1333
 
2485 -50 -1349 -1345
 
2509 -49 -1361 -1357
 
2535 -48 -1374 -1369
 
2560 -47 -1386 -1381
 
2584 -46 -1398 -1392
 
2610 -45 -1409 -1404
 
2634 -44 -1421 -1415
 
2660 -43 -1432 -1426
 
2684 -42 -1443 -1437
 
2709 -41 -1454 -1448
 
2735 -40 -1465 -1458
 
2759 -39 -1476 -1469
 
2784 -38 -1486 -1479
 
2809 -37 -1496 -1489
 
2834 -36 -1506 -1498
 
2860 -35 -1516 -1508
 
2884 -34 -1525 -1517
 
2909 -33 -1535 -1526
 
2934 -32 -1544 -1535
 
2959 -31 -1552 -1543
 
2983 -30 -1561 -1552
 
3009 -29 -1569 -1560
 
3034 -28 -1577 -1568
 
3059 -27 -1585 -1575
 
3084 -26 -1592 -1583
 
3108 -25 -1600 -1590
 
3134 -24 -1606 -1597
 
3159 -23 -1613 -1603
 
3183 -22 -1619 -1609
 
3209 -21 -1625 -1615
 
3233 -20 -1630 -1621
 
3259 -19 -1635 -1626
 
3283 -18 -1640 -1631
 
3308 -17 -1645 -1636
 
3334 -16 -1649 -1640
 
3358 -15 -1652 -1644
 
3383 -14 -1656 -1648
 
3408 -13 -1659 -1652
 
3433 -12 -1662 -1655
 
3459 -11 -1664 -1657
 
3483 -10 -1666 -1660
 
3508 -9 -1667 -1662
 
3532 -8 -1669 -1663
 
3556 -7 -1669 -1664
 
3579 -6 -1670 -1665
 
3604 -5 -1670 -1666
 
3628 -4 -1670 -1666
 
3651 -3 -1670 -1666
 
3676 -2 -1670 -1666
 
3699 -1 -1670 -1666
 
3724 0 -1670 -1666
 
3746 1 -1670 -1666
 
3769 2 -1670 -1666
 
3792 3 -1670 -1666
 
3815 4 -1670 -1666
 
3837 5 -1670 -1666
 
3861 6 -1670 -1666
 
3884 7 -1670 -1666
 
3906 8 -1670 -1666
 
3930 9 -1670 -1666
 
3952 10 -1670 -1666
 
3976 11 -1670 -1666
 
4000 12 -1670 -1666
 
4024 13 -1670 -1666
 
4047 14 -1670 -1666
 
4072 15 -1670 -1666
 
4096 16 -1670 -1666
 
4120 17 -1670 -1666
 
4144 18 -1670 -1666
 
4167 19 -1670 -1665
 
4192 20 -1670 -1663
 
4215 21 -1670 -1662
 
4239 22 -1670 -1660
 
4263 23 -1670 -1657
 
4287 24 -1670 -1654
 
4311 25 -1670 -1651
 
4335 26 -1670 -1647
 
4359 27 -1669 -1643
 
4382 28 -1667 -1639
 
4407 29 -1664 -1634
 
4430 30 -1661 -1629
 
4455 31 -1657 -1624
 
4478 32 -1653 -1619
 
4502 33 -1649 -1613
 
4527 34 -1644 -1607
 
4550 35 -1638 -1600
 
4574 36 -1633 -1594
 
4598 37 -1627 -1587
 
4622 38 -1620 -1580
 
4645 39 -1614 -1572
 
4670 40 -1607 -1564
 
4694 41 -1600 -1557
 
4718 42 -1592 -1548
 
4742 43 -1584 -1540
 
4765 44 -1576 -1532
 
4790 45 -1568 -1523
 
4813 46 -1559 -1514
 
4837 47 -1550 -1504
 
4861 48 -1541 -1495
 
4885 49 -1532 -1485
 
4909 50 -1522 -1476
 
4933 51 -1513 -1465
 
4957 52 -1503 -1455
 
4980 53 -1492 -1445
 
5005 54 -1482 -1434
 
5028 55 -1471 -1423
 
5053 56 -1461 -1413
 
5076 57 -1449 -1401
 
5100 58 -1438 -1390
 
5125 59 -1427 -1379
 
5148 60 -1415 -1367
 
5172 61 -1404 -1356
 
5196 62 -1392 -1344
 
5220 63 -1380 -1332
 
5243 64 -1367 -1319
 
5268 65 -1355 -1307
 
5292 66 -1342 -1295
 
5315 67 -1329 -1282
 
5340 68 -1317 -1269
 
5363 69 -1303 -1257
 
5388 70 -1290 -1244
 
5411 71 -1277 -1231
 
5435 72 -1263 -1218
 
5459 73 -1250 -1205
 
5483 74 -1236 -1192
 
5507 75 -1222 -1179
 
5531 76 -1208 -1165
 
5555 77 -1194 -1152
 
5578 78 -1180 -1138
 
5603 79 -1165 -1124
 
5626 80 -1151 -1110
 
5651 81 -1136 -1096
 
5675 82 -1122 -1082
 
5698 83 -1107 -1067
 
5723 84 -1092 -1053
 
5746 85 -1077 -1038
 
5770 86 -1062 -1023
 
5794 87 -1047 -1008
 
5818 88 -1031 -993
 
5840 89 -1017 -978
 
5864 90 -1002 -964
 
5886 91 -987 -950
 
5908 92 -973 -935
 
5931 93 -958 -921
 
5952 94 -944 -907
 
5974 95 -929 -893
 
5996 96 -915 -878
 
6018 97 -900 -864
 
6039 98 -885 -849
 
6062 99 -870 -835
 
6083 100 -855 -820
 
6106 99 -840 -805
 
6128 98 -825 -790
 
