Time PWM Left Right
3500.00 100 0 0
3503.00 100 0 0
3506.00 100 0 0
3509.00 100 0 0
3512.00 100 0 0
3515.00 100 0 0
3531.00 100 0 0
3549.00 100 0 0
3565.00 100 0 0
3581.00 100 0 0
3598.00 100 0 0
3615.00 100 0 0
3632.00 100 0 0
3648.00 100 0 0
3664.00 100 0 0
3682.00 100 0 0
3698.00 100 0 0
3715.00 100 0 0
3731.00 100 0 0
3748.00 100 0 0
3765.00 100 0 0
3781.00 100 0 0
3798.00 100 0 0
3815.00 100 0 0
3831.00 100 0 0
3848.00 100 0 0
3864.00 100 0 0
3881.00 100 0 0
3898.00 100 0 0
3914.00 100 0 0
3931.00 100 0 0
3948.00 100 0 0
3964.00 100 0 0
3981.00 100 0 0
3997.00 100 0 0
4015.00 100 0 0
4031.00 100 0 0
4047.00 100 0 0
4064.00 100 0 0
4081.00 100 0 0
4098.00 100 0 0
4114.00 100 0 0
4130.00 100 0 0
4148.00 100 0 0
4164.00 100 0 0
4180.00 100 0 0
4197.00 100 0 0
4214.00 100 0 0
4231.00 100 0 0
4247.00 100 0 0
4263.00 100 0 0
4281.00 100 0 0
4297.00 100 0 0
4314.00 100 0 0
4330.00 100 0 0
4347.00 100 0 0
4364.00 100 0 0
4380.00 100 0 0
4397.00 100 0 0
4414.00 100 0 0
4430.00 100 0 0
4447.00 100 0 0
4463.00 100 0 0
4481.00 100 0 0
4497.00 100 0 0
4513.00 100 0 0
4530.00 100 0 0
4547.00 100 0 0
4563.00 100 0 0
4580.00 100 0 0
4596.00 100 0 0
4614.00 100 0 0
4630.00 100 0 0
4646.00 100 0 0
4663.00 100 0 0
4680.00 100 0 0
4697.00 100 0 0
4713.00 100 0 0
4729.00 100 0 0
4747.00 100 0 0
4763.00 100 0 0
4780.00 100 0 0
4796.00 100 0 0
4813.00 100 0 0
4830.00 100 0 0
4846.00 100 0 0
4862.00 100 0 0
4880.00 100 0 0
4896.00 100 0 0
4913.00 100 0 0
4929.00 100 0 0
4946.00 100 0 0
4963.00 100 0 0
4979.00 100 0 0
4996.00 100 0 0
5013.00 100 0 0
5029.00 100 0 0
5046.00 100 0 0
5062.00 100 0 0
5080.00 100 0 0
5096.00 100 0 0
5112.00 100 0 0
5129.00 100 0 0
5146.00 100 0 0
5163.00 100 0 0
5179.00 100 0 0
5195.00 100 0 0
5213.00 100 0 0
5229.00 100 0 0
5245.00 100 0 0
5262.00 100 0 0
5279.00 100 0 0
5296.00 100 0 0
5312.00 100 0 0
5328.00 100 0 0
5346.00 100 0 0
5362.00 100 0 0
5379.00 100 0 0
5395.00 100 0 0
5412.00 100 0 0
5429.00 100 0 0
5445.00 100 0 0
5462.00 100 0 0
5479.00 100 0 0
5495.00 100 0 0
5512.00 100 0 0
5528.00 100 0 0
5545.00 100 0 0
5562.00 100 0 0
5578.00 100 0 0
5595.00 100 0 0
5612.00 100 0 0
5628.00 100 0 0
5645.00 100 0 0
5661.00 100 0 0
5679.00 100 0 0
5695.00 100 0 0
5711.00 100 0 0
5728.00 100 0 0
5745.00 100 0 0
5762.00 100 0 0
5778.00 100 0 0
5794.00 100 0 0
5812.00 100 0 0
5828.00 100 0 0
5844.00 100 0 0
5861.00 100 0 0
5878.00 100 0 0
5895.00 100 0 0
5911.00 100 0 0
5927.00 100 0 0
5945.00 100 0 0
5961.00 100 0 0
5978.00 100 0 0
5994.00 100 0 0
6011.00 100 0 0
6028.00 100 0 0
6044.00 100 0 0
6061.00 100 0 0
6078.00 100 0 0
6094.00 100 0 0
6111.00 100 0 0
6127.00 100 0 0
6145.00 100 0 0
6161.00 100 0 0
6177.00 100 0 0
6194.00 100 0 0
6211.00 100 0 0
6227.00 100 0 0
