Time PWM Left Right
3500.00 0 0 0
3503.00 0 0 0
3506.00 0 0 0
3509.00 0 0 0
3512.00 0 0 0
3515.00 0 0 0
 
3519.00 -1 0 0
 
3538.00 -2 0 0
 
3557.00 -3 0 0
 
3575.00 -4 0 0
 
3594.00 -5 0 0
 
3613.00 -6 0 0
 
3632.00 -7 0 0
 
3650.00 -8 0 0
 
3670.00 -9 0 0
 
3688.00 -10 0 0
 
3707.00 -11 0 0
 
3727.00 -12 0 0
 
3747.00 -13 0 0
 
3767.00 -14 0 0
 
3786.00 -15 0 0
 
3807.00 -16 0 0
 
3826.00 -17 0 0
 
3846.00 -18 0 0
 
3866.00 -19 0 0
 
3886.00 -20 0 0
 
3905.00 -21 0 0
 
3924.00 -22 0 -1
 
3946.00 -23 -1 -2
 
3968.00 -24 -2 -3
 
3989.00 -25 -3 -4
 
4012.00 -26 -5 -5
 
4033.00 -27 -7 -7
 
4055.00 -28 -10 -10
 
4079.00 -29 -13 -13
 
4103.00 -30 -17 -16
 
4126.00 -31 -20 -20
 
4151.00 -32 -24 -25
 
4174.00 -33 -29 -29
 
4199.00 -34 -34 -34
 
4222.00 -35 -39 -40
 
4246.00 -36 -45 -45
 
4271.00 -37 -51 -51
 
4294.00 -38 -58 -58
 
4318.00 -39 -64 -64
 
4342.00 -40 -71 -71
 
4366.00 -41 -78 -78
 
4389.00 -42 -85 -85
 
4414.00 -43 -92 -93
 
4438.00 -44 -100 -101
 
4464.00 -45 -109 -110
 
4490.00 -46 -119 -119
 
4515.00 -47 -128 -128
 
4542.00 -48 -138 -138
 
4568.00 -49 -148 -148
 
4593.00 -50 -159 -158
 
4620.00 -51 -170 -169
 
4645.00 -52 -180 -180
 
4672.00 -53 -191 -191
 
4698.00 -54 -203 -202
 
4723.00 -55 -214 -214
 
4750.00 -56 -226 -225
 
4775.00 -57 -238 -237
 
4802.00 -58 -250 -249
 
4828.00 -59 -263 -261
 
4853.00 -60 -276 -274
 
4880.00 -61 -289 -286
 
4905.00 -62 -302 -299
 
4932.00 -63 -315 -312
 
4958.00 -64 -328 -325
 
4983.00 -65 -342 -338
 
5010.00 -66 -356 -352
 
5036.00 -67 -370 -365
 
5061.00 -68 -384 -379
 
5088.00 -69 -398 -393
 
5113.00 -70 -412 -407
 
5140.00 -71 -426 -421
 
5166.00 -72 -441 -435
 
5191.00 -73 -455 -449
 
5218.00 -74 -470 -464
 
5243.00 -75 -485 -479
 
5270.00 -76 -501 -493
 
5296.00 -77 -516 -508
 
5321.00 -78 -531 -523
 
5348.00 -79 -547 -538
 
5373.00 -80 -562 -554
 
5400.00 -81 -578 -569
 
5426.00 -82 -594 -585
 
5451.00 -83 -610 -601
 
5478.00 -84 -627 -617
 
5504.00 -85 -643 -633
 
5530.00 -86 -660 -649
 
5556.00 -87 -676 -665
 
5581.00 -88 -693 -682
 
5608.00 -89 -710 -699
 
5634.00 -90 -728 -715
 
5659.00 -91 -745 -732
 
5686.00 -92 -762 -749
 
5711.00 -93 -779 -766
 
5738.00 -94 -797 -784
 
5764.00 -95 -815 -801
 
5789.00 -96 -833 -818
 
5816.00 -97 -851 -836
 
5841.00 -98 -869 -853
 
5868.00 -99 -887 -871
 
5894.00 -100 -906 -889
 
5920.00 -99 -924 -907
 
5947.00 -98 -942 -925
 
5972.00 -97 -961 -942
 
5999.00 -96 -979 -960
 
6025.00 -95 -997 -978
 
6050.00 -94 -1015 -996
 
6078.00 -93 -1034 -1014
 
6106.00 -92 -1053 -1033
 
6134.00 -91 -1073 -1052
 
6162.00 -90 -1092 -1071
 
6190.00 -89 -1111 -1089
 
6218.00 -88 -1130 -1108
 
6246.00 -87 -1150 -1127
 
6275.00 -86 -1169 -1145
 
6302.00 -85 -1187 -1164
 
6331.00 -84 -1206 -1182
 
